Catégorie;Service ID;Nom du Service;Niveau;Prix Actuel (€);Type (One-off / Mensuel);Notes

=== SEO ===
SEO;seo-audit;A. Audit SEO;Basic;300;One-off;
SEO;seo-audit;A. Audit SEO;Avancé;400;One-off;
SEO;seo-corrections;B. Corrections Techniques;Essentiel;100;Mensuel?;Devrait être one-off?
SEO;seo-corrections;B. Corrections Techniques;Avancé;250;Mensuel?;Devrait être one-off?
SEO;seo-corrections;B. Corrections Techniques;Premium;500;Mensuel?;400-600€ - devrait être one-off?
SEO;seo-strategy;C. Stratégie SEO Central;Essentiel;200;Mensuel;
SEO;seo-strategy;C. Stratégie SEO Central;Avancé;400;Mensuel;
SEO;seo-strategy;C. Stratégie SEO Central;Premium;600;Mensuel;
SEO;seo-content;D. Contenu IA Optimisé;2 articles;350;Mensuel;
SEO;seo-content;D. Contenu IA Optimisé;4 articles;600;Mensuel;
SEO;seo-content;D. Contenu IA Optimisé;8 articles;750;Mensuel;
SEO;seo-content;Option CMS;Publication CMS;100;Mensuel;Addon optionnel
SEO;seo-followup;E. Suivi & Collaboration;Essentiel;100;Mensuel;
SEO;seo-followup;E. Suivi & Collaboration;Avancé;200;Mensuel;
SEO;seo-followup;E. Suivi & Collaboration;Premium;300;Mensuel;

=== GOOGLE ADS ===
Google Ads;ads-audit;A. Audit Google Ads;Basic;300;One-off;
Google Ads;ads-audit;A. Audit Google Ads;Avancé;500;One-off;
Google Ads;ads-setup;B. Setup de Campagnes;Essentiel;400;One-off;
Google Ads;ads-setup;B. Setup de Campagnes;Avancé;700;One-off;
Google Ads;ads-setup;B. Setup de Campagnes;Premium;1200;One-off;
Google Ads;ads-management;C. Gestion Mensuelle;Essentiel;0;Mensuel;Budget-based (voir frais gestion)
Google Ads;ads-management;C. Gestion Mensuelle;Avancé;200;Mensuel;+frais de gestion
Google Ads;ads-management;C. Gestion Mensuelle;Premium;400;Mensuel;+frais de gestion
Google Ads;ads-reporting;D. Reporting & Analytics;Essentiel;150;Mensuel;
Google Ads;ads-reporting;D. Reporting & Analytics;Avancé;300;Mensuel;
Google Ads;ads-reporting;D. Reporting & Analytics;Premium;500;Mensuel;
Google Ads;MANAGEMENT FEE;Frais de Gestion;<2500€ budget;500;Mensuel;Minimum fixe
Google Ads;MANAGEMENT FEE;Frais de Gestion;2500€-10000€ budget;20%;Mensuel;Pourcentage du budget
Google Ads;MANAGEMENT FEE;Frais de Gestion;>10000€ budget;Sur devis;Mensuel;% ajusté

=== PAID SOCIAL ===
Paid Social;social-audit;A. Audit Social Ads;Basic;300;One-off;
Paid Social;social-audit;A. Audit Social Ads;Avancé;500;One-off;
Paid Social;social-setup;B. Setup de Campagnes;Essentiel;400;One-off;
Paid Social;social-setup;B. Setup de Campagnes;Avancé;700;One-off;
Paid Social;social-setup;B. Setup de Campagnes;Premium;1200;One-off;
Paid Social;social-management;C. Gestion Mensuelle;Essentiel;0;Mensuel;Budget-based (voir frais gestion)
Paid Social;social-management;C. Gestion Mensuelle;Avancé;200;Mensuel;+frais de gestion
Paid Social;social-management;C. Gestion Mensuelle;Premium;400;Mensuel;+frais de gestion
Paid Social;social-creatives;D. Création de Visuels;Essentiel;300;Mensuel?;Devrait être one-off par pack?
Paid Social;social-creatives;D. Création de Visuels;Avancé;600;Mensuel?;
Paid Social;social-creatives;D. Création de Visuels;Premium;1200;Mensuel?;
Paid Social;MANAGEMENT FEE;Frais de Gestion;<2500€ budget;500;Mensuel;Minimum fixe
Paid Social;MANAGEMENT FEE;Frais de Gestion;2500€-10000€ budget;20%;Mensuel;Pourcentage du budget
Paid Social;MANAGEMENT FEE;Frais de Gestion;>10000€ budget;Sur devis;Mensuel;% ajusté

=== EMAILING ===
Emailing;email-setup;A. Email Software Setup;Essentiel;400;One-off;
Emailing;email-setup;A. Email Software Setup;Avancé;800;One-off;
Emailing;email-setup;A. Email Software Setup;Premium;1500;One-off;
Emailing;email-crm;B. Intégration CRM;Essentiel;300;One-off;
Emailing;email-crm;B. Intégration CRM;Avancé;600;One-off;
Emailing;email-crm;B. Intégration CRM;Premium;1200;One-off;
Emailing;email-segmentation;C. Segmentation & Audiences;Essentiel;200;Mensuel?;Devrait être one-off?
Emailing;email-segmentation;C. Segmentation & Audiences;Avancé;400;Mensuel?;
Emailing;email-segmentation;C. Segmentation & Audiences;Premium;700;Mensuel?;
Emailing;email-contacts;D. Acquisition de Contacts;500 contacts;500;One-off;
Emailing;email-contacts;D. Acquisition de Contacts;2000 contacts;1500;One-off;
Emailing;email-contacts;D. Acquisition de Contacts;5000+ contacts;3000;One-off;À partir de
Emailing;email-content;E. Création de Contenu;À la carte;150;One-off;Par email
Emailing;email-content;E. Création de Contenu;Pack 5;600;One-off;5 emails
Emailing;email-content;E. Création de Contenu;Pack 10;1000;One-off;10 emails
Emailing;email-campaigns;F. Gestion de Campagnes;Ponctuel;200;One-off;Par campagne
Emailing;email-campaigns;F. Gestion de Campagnes;Mensuel;500;Mensuel;4 campagnes/mois
Emailing;email-campaigns;F. Gestion de Campagnes;Premium;1000;Mensuel;Illimité
Emailing;email-analytics;G. Analytics & Reporting;Essentiel;100;Mensuel;
Emailing;email-analytics;G. Analytics & Reporting;Avancé;250;Mensuel;
Emailing;email-analytics;G. Analytics & Reporting;Premium;500;Mensuel;

=== AI TRAINING ===
AI Training;ai-training;Formation IA - 1 session;Half Day (3h);1500;One-off;
AI Training;ai-training;Formation IA - 1 session;Full Day (6.5h);2800;One-off;
AI Training;ai-training;Formation IA - 5+ sessions;Half Day (3h);1150;One-off;Par session (x5)
AI Training;ai-training;Formation IA - 5+ sessions;Full Day (6.5h);2200;One-off;Par session (x5)
AI Training;travel-cost;Frais de déplacement (présentiel);Estimé;300-700;One-off;Selon localisation

=== TRACKING & REPORTING ===
Tracking;tracking-audit;Audit Tracking;-;300;One-off;
Tracking;ga4-setup;Installation / Révision GA4;-;400;One-off;
Tracking;conversion-tracking;Points de Conversion;-;350;One-off;
Tracking;cookie-consent;Cookie Banner + Consent Mode v2;-;300;One-off;
Tracking;crm-integration;Intégration CRM;-;500;One-off;Varie selon CRM
Tracking;reporting-dashboard;Dashboard Reporting Multicanal;-;600;One-off;

=== ADDITIONAL SETUP (À RETIRER) ===
Setup;tracking;Tracking & Analytics Setup;-;400;One-off;DUPLIQUER AVEC SECTION TRACKING
Setup;dashboard;Custom Dashboard;-;500;One-off;DUPLIQUER AVEC SECTION TRACKING
